"Sets","variable","value","station_id"
"Training set","Random Walk RMSE","0.0399980005665589","252"
"Test set","Random Walk RMSE","0.0390113688422992","252"
"Training set","Neural Networks RMSE","0.0125946072632291","252"
"Test set","Neural Networks RMSE","0.102538935246598","252"
"Training set","Arima RMSE","0.00744661899123814","253"
"Test set","Arima RMSE","0.0160355372511234","253"
"Training set","Random Walk RMSE","0.00741337664048369","253"
"Test set","Random Walk RMSE","0.0268118690355669","253"
"Training set","Neural Networks RMSE","0.00744707292644659","253"
"Test set","Neural Networks RMSE","0.0159199097412893","253"
"Training set","Arima RMSE","0.0119763307341074","254"
"Test set","Arima RMSE","0.0341629949513286","254"
"Training set","Random Walk RMSE","0.0119624065659487","254"
"Test set","Random Walk RMSE","0.0322584485079422","254"
"Training set","Neural Networks RMSE","0.0119931152628198","254"
"Test set","Neural Networks RMSE","0.0318522865453734","254"
"Training set","Arima RMSE","0.0109000839731073","257"
"Test set","Arima RMSE","0.0368055925985135","257"
"Training set","Random Walk RMSE","0.0108201147566965","257"
"Test set","Random Walk RMSE","0.104683013185728","257"
"Training set","Neural Networks RMSE","0.0109643338910206","257"
"Test set","Neural Networks RMSE","0.085138244696841","257"
"Training set","Arima RMSE","0.0101054958102767","258"
"Test set","Arima RMSE","0.0573032368154392","258"
"Training set","Random Walk RMSE","0.0159889605223233","258"
"Test set","Random Walk RMSE","0.0339544552654692","258"
"Training set","Neural Networks RMSE","0.010163825823773","258"
"Test set","Neural Networks RMSE","0.0604540684481571","258"
"Training set","Arima RMSE","0.0107815515995916","259"
"Test set","Arima RMSE","0.0196462157104344","259"
"Training set","Random Walk RMSE","0.0105987355605237","259"
"Test set","Random Walk RMSE","0.0521145726004895","259"
"Training set","Neural Networks RMSE","0.0109023372616173","259"
"Test set","Neural Networks RMSE","0.0300667676911758","259"
"Training set","Arima RMSE","0.00818421884054539","260"
"Test set","Arima RMSE","0.00281163843103353","260"
"Training set","Random Walk RMSE","0.00799148766840762","260"
"Test set","Random Walk RMSE","0.0049008273686895","260"
"Training set","Neural Networks RMSE","0.00838098403723138","260"
"Test set","Neural Networks RMSE","0","260"
"Training set","Arima RMSE","0.0099569039332509","261"
"Test set","Arima RMSE","0.160431586151663","261"
